日期,最高温,最低温,天气
2023-01-01,-3,-18,晴
2023-01-02,-4,-18,晴
2023-01-03,-3,-19,晴
2023-01-04,-1,-15,晴
2023-01-05,3,-8,晴
2023-01-06,-1,-15,中雪
2023-01-07,-2,-13,雾
2023-01-08,5,-13,多云
2023-01-09,-1,-13,晴
2023-01-10,6,-3,晴
2023-01-11,7,0,多云
2023-01-12,8,0,阴
2023-01-13,4,-14,雨夹雪
2023-01-14,-11,-19,阴
2023-01-15,-9,-19,晴
2023-01-16,-5,-16,晴
2023-01-17,-2,-19,晴
2023-01-18,0,-8,晴
2023-01-19,2,-14,冻雨
2023-01-20,-9,-16,晴
2023-01-21,0,-13,多云
2023-01-22,-10,-20,小雪
2023-01-23,-17,-25,多云
2023-01-24,-15,-22,晴
2023-01-25,-4,-16,多云
2023-01-26,-8,-21,多云
2023-01-27,-7,-20,晴
2023-01-28,-2,-11,晴
2023-01-29,0,-15,多云
2023-01-30,1,-5,晴
2023-01-31,2,-7,多云
2023-02-01,-1,-14,多云
2023-02-02,-3,-12,晴
2023-02-03,0,-14,多云
2023-02-04,0,-7,晴
2023-02-05,6,-9,多云
2023-02-06,1,-10,晴
2023-02-07,0,-13,多云
2023-02-08,2,-12,晴
2023-02-09,3,-4,多云
2023-02-10,3,-6,多云
2023-02-11,3,-8,雾
2023-02-12,-3,-10,多云
2023-02-13,0,-11,晴
2023-02-14,-1,-14,晴
2023-02-15,-1,-12,多云
2023-02-16,4,-6,多云
2023-02-17,6,-4,多云
2023-02-18,1,-10,雾
2023-02-19,2,-12,雾
2023-02-20,-1,-16,晴
2023-02-21,0,-8,晴
2023-02-22,6,-7,多云
2023-02-23,6,-7,晴
2023-02-24,0,-13,多云
2023-02-25,3,-8,晴
2023-02-26,11,-1,晴
2023-02-27,11,0,晴
2023-02-28,8,-7,多云
2023-03-01,4,-10,多云~晴
2023-03-02,7,-5,晴
2023-03-03,13,-4,晴
2023-03-04,14,0,晴
2023-03-05,15,4,雾~晴
2023-03-06,14,-1,多云~晴
2023-03-07,17,0,雾~多云
2023-03-08,12,-1,多云
2023-03-09,17,2,多云~晴
2023-03-10,18,2,多云
2023-03-11,8,-4,多云
