日期,开盘价,收盘价,最高价,最低价,单数,金额,均值,差率,净盈利率,未知
2021-07-13,4.40,4.43,4.49,4.35,107381,47442019.00,3.17,0.45,0.02,1.34
2021-07-14,4.60,4.87,4.87,4.56,648362,313715824.00,7.00,9.93,0.44,8.12
2021-07-15,4.63,4.43,4.67,4.42,671384,303397936.00,5.13,-9.03,-0.44,8.41
2021-07-16,4.43,4.44,4.53,4.43,198520,88581894.00,2.26,0.23,0.01,2.50
2021-07-19,4.44,4.38,4.45,4.31,162097,70451542.00,3.15,-1.35,-0.06,2.04
2021-07-20,4.32,4.37,4.39,4.30,108050,46982830.00,2.05,-0.23,-0.01,1.36
2021-07-21,4.37,4.41,4.45,4.37,139912,61747296.00,1.83,0.92,0.04,1.76
2021-07-22,4.38,4.39,4.41,4.37,109537,48005650.00,0.91,-0.45,-0.02,1.38
2021-07-23,4.43,4.33,4.44,4.26,162446,70090168.00,4.10,-1.37,-0.06,2.05
2021-07-26,4.33,4.18,4.35,4.10,158588,66453054.00,5.77,-3.46,-0.15,2.00
2021-07-27,4.18,4.11,4.21,4.08,118904,49176860.00,3.11,-1.67,-0.07,1.50
2021-07-28,4.07,3.94,4.12,3.86,176917,70280876.00,6.33,-4.14,-0.17,2.23
2021-07-29,3.93,4.05,4.10,3.93,134190,53831392.00,4.31,2.79,0.11,1.69
2021-07-30,4.03,4.02,4.08,3.94,104280,41848246.00,3.46,-0.74,-0.03,1.32
2021-08-02,4.18,4.14,4.25,4.08,120468,49896709.00,4.23,2.99,0.12,1.52
2021-08-03,4.10,4.11,4.16,4.09,103295,42549424.00,1.69,-0.72,-0.03,1.30
2021-08-04,4.09,4.13,4.16,4.09,96658,39866416.00,1.70,0.49,0.02,1.22
2021-08-05,4.12,4.03,4.13,4.00,110834,44796575.00,3.15,-2.42,-0.10,1.40
2021-08-06,4.03,3.94,4.08,3.93,108273,42857889.00,3.72,-2.23,-0.09,1.37
2021-08-09,4.00,3.98,4.05,3.96,66090,26315239.00,2.28,1.02,0.04,0.83
2021-08-10,3.96,3.98,4.02,3.95,83338,33183883.00,1.76,0.00,0.00,1.05
2021-08-11,3.97,4.11,4.13,3.94,176987,71655503.00,4.77,3.27,0.13,2.23
2021-08-12,4.11,4.07,4.14,4.06,102228,41770529.00,1.95,-0.97,-0.04,1.29
2021-08-13,4.08,4.02,4.11,4.00,89018,36022175.00,2.70,-1.23,-0.05,1.12
2021-08-16,4.03,4.03,4.09,4.00,99997,40311462.00,2.24,0.25,0.01,1.26
2021-08-17,4.02,3.90,4.03,3.89,157432,61812950.00,3.47,-3.23,-0.13,1.99
2021-08-18,3.85,3.91,3.95,3.83,81618,31864675.00,3.08,0.26,0.01,1.03
2021-08-19,3.91,3.87,3.93,3.86,71238,27614049.00,1.79,-1.02,-0.04,0.90
2021-08-20,3.85,3.75,3.86,3.72,117400,44272949.00,3.62,-3.10,-0.12,1.48
2021-08-23,3.76,3.79,3.82,3.76,83532,31636124.00,1.60,1.07,0.04,1.05
2021-08-24,3.82,3.78,3.82,3.71,113746,42595954.00,2.90,-0.26,-0.01,1.43
2021-08-25,3.74,3.80,3.82,3.74,79871,30262422.00,2.12,0.53,0.02,1.01
2021-08-26,3.83,3.93,4.12,3.81,219269,87577149.00,8.16,3.42,0.13,2.77
2021-08-27,3.88,3.83,3.90,3.78,103011,39471190.00,3.05,-2.54,-0.10,1.30
2021-08-30,3.83,3.80,3.88,3.78,83161,31684139.00,2.61,-0.78,-0.03,1.05
2021-08-31,3.76,3.84,3.92,3.75,86086,33092386.00,4.47,1.05,0.04,1.09
2021-09-01,3.85,3.83,3.87,3.77,89386,34123248.00,2.60,-0.26,-0.01,1.13
2021-09-02,3.82,3.80,3.84,3.78,73850,28064330.00,1.57,-0.78,-0.03,0.93
2021-09-03,3.80,3.81,3.84,3.79,82371,31409064.00,1.32,0.26,0.01,1.04
2021-09-06,3.82,3.79,3.84,3.78,67824,25744466.00,1.57,-0.52,-0.02,0.86
2021-09-07,3.79,3.87,3.89,3.78,131576,50675247.00,2.90,2.11,0.08,1.66
2021-09-08,3.86,4.05,4.10,3.86,261358,104461480.00,6.20,4.65,0.18,3.30
2021-09-09,4.10,4.00,4.13,3.96,138621,55581454.00,4.20,-1.23,-0.05,1.75
2021-09-10,4.00,3.96,4.03,3.93,94992,37738299.00,2.50,-1.00,-0.04,1.20
2021-09-13,3.99,4.01,4.02,3.93,117039,46658307.00,2.27,1.26,0.05,1.48
2021-09-14,4.00,3.88,4.00,3.88,130062,51198712.00,2.99,-3.24,-0.13,1.64
